Name,displayName,id,Rarity,category,PurchasePrice,Sellingrice,item_description,Attack,Defence,addMaxHp,addMaxMp,addSTR,addDEF,addSPD,addMagicPower,addINT,Kindness,buff,debuff,description_equip,WeakElement,StrongElement
None,None,IAD0001,0,ACCESSORY_ITEM,0,0,,0,0,0,0,0,0,0,0,0,0,NONE,NONE,,,
test_accessory,test_accessory,IAT0101,0,ACCESSORY_ITEM,0,0,test,0,5,0,0,0,0,0,0,0,0,NONE,NONE,test,,
test_accessory2,test_accessory2,IAT0102,1,ACCESSORY_ITEM,0,0,test,0,5,0,0,0,0,0,0,0,0,NONE,NONE,test,,
None,None,IBD0001,0,BODY_EQUIP_ITEM,0,0,,0,0,0,0,0,0,0,0,0,0,NONE,NONE,,,
TestBody,TestBody,IBT0101,0,BODY_EQUIP_ITEM,10,10,test,0,10,0,0,0,0,0,0,0,0,NONE,NONE,test,,
None,None,IHD0001,0,HEAD_EQUIP_ITEM,0,0,,0,0,0,0,0,0,0,0,0,0,NONE,NONE,,,
test_head,test_head,IHT0101,0,HEAD_EQUIP_ITEM,0,0,,0,5,0,0,0,0,0,0,0,0,NONE,NONE,test,,
None,None,IWT0000,0,WEAPON_ITEM,0,0,,0,0,0,0,0,0,0,0,0,0,NONE,NONE,,,
test_weapon,test_weapon,IWT0101,1,WEAPON_ITEM,0,0,test,10,0,0,0,0,0,0,0,0,0,NONE,NONE,test,,
test_weapon2,test_weapon2,IWT0102,1,WEAPON_ITEM,10,10,test2,10,10,10,10,10,10,10,10,10,10,NONE,NONE,test2,,
BloadSword,BloadSword,IWS0101,0,WEAPON_ITEM,0,0,a broad sword,5,0,0,0,0,0,0,0,0,0,NONE,NONE,Attack + 15,,
